keyword,genres
"[""assassination"", ""Cold-War"", ""computers"", ""espionage"", ""KGB"", ""radio""]","[""Spy"", ""Film"", ""Thriller""]"
"[""captive"", ""captor"", ""defector"", ""escape"", ""espionage"", ""formula"", ""killing"", ""missile"", ""political-intrigue"", ""scientist"", ""secret-plan"", ""secrets""]","[""Spy"", ""Film"", ""Thriller""]"
"[""CIA (Central-Intelligence-Agency)"", ""espionage"", ""mentor"", ""protegé"", ""race-against-time"", ""rescue"", ""secret-mission"", ""spy""]","[""Spy"", ""Film"", ""Thriller""]"
"[""agent [representative]"", ""betrayal"", ""blackmail"", ""Cold-War"", ""criminal"", ""deportation"", ""double-agent"", ""double-cross"", ""espionage"", ""killing"", ""lesbianism"", ""murder"", ""Navy"", ""officer"", ""pimp"", ""rescue"", ""romance"", ""secret-plan"", ""transvestite"", ""treason"", ""widow/widower"", ""America"", ""China"", ""letter"", ""lookalike"", ""will [document]""]","[""Spy"", ""Film"", ""Thriller""]"
"[""agent [representative]"", ""bionics"", ""brain"", ""Cold-War"", ""Communism"", ""criminal"", ""death"", ""enemy"", ""espionage"", ""operation"", ""secrets"", ""surgery"", ""treason"", ""truth"", ""widow/widower""]","[""Action"", ""Adventure"", ""Science"", ""Fiction"", ""Spy"", ""Film""]"
"[""blackmail"", ""Communism"", ""espionage"", ""political-intrigue"", ""revenge"", ""terrorism"", ""investigator"", ""killing"", ""murder"", ""theater-troupe"", ""on-tour""]","[""Spy"", ""Film""]"
"[""ballet-dance"", ""dance [art]"", ""defector"", ""husband-and-wife"", ""KGB"", ""Russia"", ""Russian [nationality]"", ""tap-dance"", ""veteran [military]""]","[""Drama"", ""Thriller""]"
"[""Cold-War"", ""editor"", ""espionage"", ""nuclear-weapon"", ""publishing-house"", ""Russia"", ""Russian [nationality]"", ""Secret-Service"", ""alcoholism""]","[""Drama"", ""Spy"", ""Film""]"
"[""agent [representative]"", ""America"", ""border [geographic]"", ""CIA (Central-Intelligence-Agency)"", ""Cold-War"", ""cycling"", ""danger"", ""defector"", ""doctor/nurse"", ""driver"", ""East"", ""employment"", ""espionage"", ""Germany"", ""group"", ""help"", ""hidden"", ""hitman"", ""investigation"", ""Judaism"", ""KGB"", ""love"", ""microfilm"", ""mistake"", ""physics"", ""recognition [fame]"", ""recruit [soldier]"", ""Russia"", ""scientist"", ""search"", ""secrets"", ""smuggling"", ""truck"", ""truckdriver"", ""vacation"", ""west"", ""worker""]","[""Spy"", ""Film""]"
"[""claustrophobia"", ""doctor"", ""escape"", ""Iron-Curtain"", ""paranoia"", ""repression"", ""Stalinism"", ""apartment""]","[""Drama""]"
"[""behind-enemy-lines"", ""child"", ""escape"", ""love-triangle"", ""mountains"", ""outlaw [Western]"", ""prison"", ""property"", ""refugee"", ""regime"", ""rescue"", ""smuggling"", ""yacht""]","[""Action""]"
"[""war"", ""advertising-executive"", ""anarchy"", ""army"", ""attack"", ""battle [war]"", ""behind-enemy-lines"", ""boating"", ""Britain"", ""captain [military]"", ""China"", ""civil-war"", ""colonel"", ""commander"", ""Communism"", ""crew"", ""escape"", ""evacuation"", ""fleet"", ""lieutenant"", ""meeting"", ""negotiation"", ""obstacle"", ""politician"", ""river"", ""scheme"", ""secrets"", ""shoot-out"", ""stranded"", ""violence"", ""wound [injury]""]","[""Drama""]"
"[""chase"", ""Cold-War"", ""conspiracy"", ""destruction"", ""double-cross"", ""espionage"", ""KGB"", ""NATO (North Atlantic Treaty Organization)"", ""nuclear-weapon"", ""political-intrigue""]","[""Spy"", ""Film"", ""Thriller""]"
"[""briefcase"", ""car-chase"", ""Cold-War"", ""crime-ring"", ""double-cross"", ""espionage"", ""shoot-out""]","[""Action"", ""Spy"", ""Film""]"
"[""escape"", ""espionage"", ""sportscaster"", ""KGB"", ""research"", ""athlete""]","[""Drama""]"
"[""con/scam"", ""double-cross"", ""wager"", ""wealth"", ""France"", ""partner"", ""heir""]","[""Comedy""]"
"[""mob-boss"", ""nightclub"", ""scheme"", ""small-time"", ""wrestling-Greco-Roman"", ""on-the-run"", ""owner"", ""promoter""]","[""Crime""]"
"[""aristocracy"", ""brother"", ""cellar"", ""kidnapping"", ""political-intrigue""]","[""Drama"", ""Historical"", ""Film""]"
"[""showdown"", ""against-all-odds"", ""bad-guy"", ""brother"", ""good-guy"", ""gunfighter"", ""killing"", ""lawman"", ""outlaw [Western]"", ""romance"", ""sheriff"", ""weapons""]","[""Western""]"
"[""family-feud"", ""business-rivalry"", ""daughter"", ""mistaken-identity"", ""parent"", ""son"", ""love"", ""childbirth""]","[""Drama"", ""Romance""]"
"[""family"", ""frontier"", ""frontiersman"", ""homestead"", ""overcome"", ""woman"", ""adversity"", ""against-all-odds"", ""dedication"", ""hardships"", ""perseverance"", ""setback"", ""struggle""]","[""Historical"", ""Film"", ""Western""]"
"[""extramarital-affair"", ""forbidden-love"", ""obsession"", ""politician"", ""sexual-attraction"", ""upper-class"", ""Parliament"", ""family-tragedy"", ""passion"", ""fiancee"", ""love-triangle""]","[""Drama""]"
"[""psychopath"", ""assumed-identity"", ""family"", ""daughter"", ""stepfather"", ""dysfunctional"", ""investigation"", ""investigator"", ""killing"", ""maniac"", ""murder"", ""psychiatry"", ""rebel"", ""scheme"", ""search"", ""serial-killer"", ""widow/widower"", ""wife""]","[""Thriller""]"
"[""bank"", ""bar [pub]"", ""gang"", ""meeting"", ""party-girl"", ""robbery""]","[""Avant-garde"", ""/"", ""Experimental"", ""Drama""]"
"[""obsession"", ""patient [medical]""]","[""Thriller""]"
"[""folk-tales"", ""sex"", ""sister"", ""teenagers""]","[""Crime""]"
"[""abandonment"", ""daughter"", ""past"", ""religion"", ""wife""]","[""Drama""]"
"[""cabin"", ""eccentric"", ""filmmaker"", ""misfit"", ""video-diary"", ""woods [place]""]","[""Horror""]"
"[""group"", ""servicemen"", ""bank-robbery"", ""British"", ""expert"", ""retirement""]","[""Crime"", ""Comedy"", ""Thriller""]"
"[""cabaret-singer"", ""country-inn"", ""innkeeper"", ""slasher""]","[""Horror""]"
"[""armored-car""]","[""Comedy""]"
"[""accomplice [criminal]"", ""bank-robbery"", ""janitor"", ""hockey-player""]","[""Crime""]"
"[""law"", ""betrayal"", ""bomb"", ""brother"", ""family"", ""father"", ""fugitive"", ""missing-person"", ""on-the-run"", ""radical"", ""romance"", ""search"", ""woman""]","[""Comedy"", ""Drama""]"
"[""bank-robbery"", ""elderly"", ""retirement"", ""friendship"", ""heart-attack""]","[""Comedy"", ""Crime""]"
"[""Christmas"", ""handyman"", ""house"", ""incest"", ""mansion"", ""orgy""]","[""Horror""]"
"[""outlaw [Western]"", ""revenge"", ""gunfighter"", ""death-in-family"", ""fame"", ""family"", ""infamy"", ""legend  [fable]"", ""mother"", ""railroad"", ""reporter"", ""westward-expansion"", ""Wild-West"", ""bank-robbery"", ""loot"", ""gangster""]","[""Western""]"
"[""gangster"", ""FBI (Federal Bureau of Investigation)"", ""career"", ""movie-theater""]","[""Crime""]"
"[""serial-killer"", ""boyfriend"", ""cross-country"", ""hitchhiker"", ""photographer"", ""writer"", ""yuppies""]","[""Crime""]"
"[""""]","[""Drama""]"
"[""addiction"", ""alienation"", ""anxiety"", ""depression"", ""mother"", ""rehabilitation [detox]""]","[""Drama""]"
"[""abandonment"", ""baby"", ""bachelor"", ""child-care"", ""parent"", ""roommate"", ""child-rearing"", ""father"", ""guardian"", ""toddlers"", ""challenge"", ""mother"", ""swinging-single"", ""drug-dealer"", ""heroin""]","[""Comedy""]"
"[""amateur-detective"", ""book"", ""church"", ""heretic"", ""investigation"", ""investigator"", ""killing"", ""monastery"", ""monk"", ""murder"", ""religion""]","[""Mystery""]"
"[""attack"", ""alien [not human]"", ""invasion"", ""man-vs-aliens"", ""message"", ""on-the-run"", ""paranoia"", ""world-domination""]","[""Science"", ""Fiction""]"
"[""expulsion"", ""fall-guy"", ""fan [devotee]"", ""soccer"", ""street-gang"", ""student"", ""violence""]","[""Drama""]"
"[""detective"", ""investigator"", ""killing"", ""love-at-first-sight"", ""romance"", ""woman""]","[""Mystery""]"
"[""manager"", ""soccer"", ""team""]","[""Drama""]"
"[""betrayal"", ""boyfriend"", ""con/scam"", ""fanatic"", ""Generation-X"", ""sex"", ""soccer"", ""widow/widower"", ""writing""]","[""Drama""]"
"[""coaching [sports]"", ""ex-wife"", ""homecoming"", ""libido"", ""soccer""]","[""Comedy""]"
"[""soccer"", ""accident"", ""bus"", ""false-accusation"", ""rape"", ""team"", ""criminal"", ""unemployment""]","[""Comedy""]"
"[""arrogance"", ""athlete"", ""attitude"", ""drugs"", ""marital-problems"", ""soccer"", ""sports"", ""STD (Sexually Transmitted Disease)"", ""womanizer"", ""world-cup""]","[""Drama""]"
"[""friendship"", ""girlfriend"", ""soccer"", ""stepmother""]","[""Comedy""]"
"[""Arab"", ""co-existence"", ""harmony [peace]"", ""Israel"", ""Jewish"", ""Middle-East"", ""Palestinian  [nationality]"", ""soccer"", ""team"", ""teamwork"", ""truce""]","[""Culture"", ""&"", ""Society"", ""Sports"", ""&"", ""Recreation""]"
"[""American [nationality]"", ""British"", ""escape"", ""German [nationality]"", ""goalie"", ""Nazi"", ""POW (Prisoner of War)"", ""soccer"", ""team""]","[""Drama"", ""War""]"
"[""cashier"", ""competition"", ""goalie"", ""insanity"", ""killer"", ""life-changes"", ""mental-illness"", ""player [sports]"", ""profession"", ""soccer"", ""sports"", ""unemployment""]","[""Drama""]"
"[""Buddhism"", ""monastery"", ""monk"", ""satellite-dish"", ""soccer""]","[""Comedy"", ""Drama""]"
"[""soccer"", ""highlights"", ""retrospective"", ""team""]","[""Sports"", ""&"", ""Recreation""]"
"[""soccer"", ""aspiration"", ""athlete"", ""immigrant""]","[""Drama""]"
"[""soccer"", ""Shaolin"", ""monk"", ""proving-oneself"", ""underdog"", ""courage"", ""determination""]","[""Comedy"", ""Action""]"
"[""freedom"", ""animal"", ""animal-rescue"", ""dysfunctional"", ""friendship"", ""rescue""]","[""Children's/Family"", ""Drama""]"
"[""challenge"", ""goalie"", ""grudge"", ""homophobia"", ""homosexual"", ""soccer"", ""team""]","[""Comedy""]"
"[""against-all-odds"", ""childhood"", ""coming-of-age"", ""East Indian"", ""employment"", ""family"", ""family-separation"", ""family-strife"", ""father"", ""poor-family"", ""poverty"", ""struggle"", ""village""]","[""Drama""]"
"[""actor"", ""roommate"", ""apartment"", ""girl"", ""romance"", ""self-discovery"", ""show-business"", ""single-parent"", ""divorce"", ""love"", ""homelessness""]","[""Comedy""]"
"[""babysitter"", ""balloon"", ""film-student"", ""Parisian""]","[""Drama""]"
"[""soccer"", ""prison"", ""prison-guard"", ""match (sports)"", ""Britain"", ""gambling"", ""prison-warden""]","[""Comedy""]"
"[""celebrity"", ""fanatic"", ""obsession"", ""soccer""]","[""""]"
"[""bad-luck"", ""editor"", ""morals"", ""murder"", ""mutilation"", ""newspaper"", ""poverty"", ""promiscuity"", ""prostitute/prostitution"", ""protegé"", ""revenge"", ""seduction"", ""serial-killer"", ""silence"", ""slasher"", ""wife""]","[""Drama""]"
"[""homelessness"", ""street-people"", ""newborn"", ""poverty"", ""street-kid"", ""black-market"", ""thief""]","[""Drama""]"
"[""Superhero"", ""crimefighting"", ""insurance-agent"", ""secret-identity"", ""super-power"", ""villain""]","[""Children's/Family""]"
"[""betrayal"", ""deception"", ""extramarital-affair"", ""innocence"", ""jealousy"", ""killing"", ""Moor"", ""tragic-love"", ""victim"", ""budget"", ""production [showbiz]"", ""release""]","[""Drama""]"
"[""bumbler"", ""detective"", ""ineptitude"", ""disguise"", ""jewel-robbery"", ""cat-burglar"", ""false-accusation""]","[""Comedy""]"
"[""Moor"", ""tragic-love"", ""deception"", ""friendship"", ""jealousy"", ""manipulation"", ""castle""]","[""Musical""]"
"[""amateur"", ""Britain"", ""bumbler"", ""chase"", ""detective"", ""friendship"", ""ghost"", ""investigation"", ""investigator"", ""killing"", ""murder"", ""Scotland-Yard""]","[""Comedy"", ""Mystery""]"
"[""bumbler"", ""police"", ""police-detective"", ""investigation"", ""assassination"", ""ballpark"", ""con/scam"", ""deduction [reasoning]"", ""femme-fatale"", ""mind-control"", ""murder"", ""police-investigation"", ""queen [royalty]"", ""love-conquers-all"", ""opera-singer"", ""scheme"", ""baseball"", ""game"", ""President""]","[""Comedy""]"
"[""serial-killer"", ""investigation"", ""murder-suspect"", ""police-investigation"", ""political-upheaval"", ""South Korea""]","[""Crime"", ""Drama""]"
"[""partner"", ""police-detective""]","[""Comedy""]"
"[""detective"", ""bumbler"", ""mental-breakdown"", ""boss [employer]"", ""insanity"", ""maniac"", ""disguise"", ""ray-gun"", ""spy"", ""world-destruction""]","[""Comedy""]"
"[""fish-out-of-water"", ""partner"", ""police-officer"", ""promotion"", ""small-town""]","[""Comedy""]"
"[""investigation"", ""investigator"", ""on-the-run"", ""femme-fatale"", ""missing-person"", ""murder"", ""police"", ""search""]","[""Comedy"", ""Drama""]"
"[""bumbler"", ""jewel-robbery"", ""thief"", ""courtroom"", ""deduction [reasoning]"", ""detective"", ""police-inspector"", ""police-investigation"", ""trial [courtroom]"", ""chase"", ""extramarital-affair"", ""frame-up"", ""opal"", ""ski-resort"", ""handkerchief""]","[""Comedy""]"
"[""smuggling"", ""investigation"", ""murder"", ""police"", ""robbery"", ""undercover"", ""weapons-dealer""]","[""Action"", ""Comedy""]"
"[""actor"", ""private-detective"", ""deception"", ""deduction [reasoning]"", ""impersonation"", ""protegé"", ""alcoholism""]","[""Comedy"", ""Mystery""]"
"[""janitor"", ""delinquency"", ""police-officer"", ""social-worker"", ""rehabilitation [criminal]"", ""street-gang"", ""teenagers""]","[""Comedy""]"
"[""gangster"", ""airport"", ""capture"", ""commando"", ""corruption"", ""fishing-village"", ""friendship"", ""incompetence"", ""invasion"", ""lawyer"", ""military"", ""on-the-run"", ""police"", ""security-guard"", ""union [labor union]""]","[""Comedy""]"
"[""bumbler"", ""police"", ""police-detective"", ""crimefighting"", ""investigation"", ""deduction [reasoning]"", ""political-leader"", ""criminal"", ""escapades"", ""industrialist"", ""kidnapping"", ""rescue"", ""business"", ""femme-fatale"", ""ecology"", ""evil"", ""nuclear-energy""]","[""Comedy""]"
"[""detective"", ""French [nationality]"", ""investigation"", ""jewel-robbery"", ""partner"", ""team"", ""thief"", ""whiz-kid""]","[""Comedy""]"
"[""casino"", ""convention"", ""crimefighter"", ""mall"", ""security-guard""]","[""Comedy""]"
"[""college-student"", ""false-accusation"", ""murder"", ""backwoods"", ""courtroom"", ""cousin"", ""lawyer"", ""fish-out-of-water"", ""girlfriend"", ""Italian [nationality]"", ""judge"", ""name-clearing"", ""justice""]","[""Comedy""]"
"[""cross-cultural-relations"", ""half-breed"", ""hero"", ""hostage"", ""Native-American"", ""prejudice"", ""race/ethnicity"", ""racism"", ""robbery"", ""social-issues"", ""stagecoach"", ""escort"", ""kidnapping"", ""ransom"", ""inheritance"", ""gangster""]","[""Western""]"
"[""adventurer"", ""buffalo"", ""frontiersman"", ""hunting"", ""Indian (Native-American)-fighter"", ""life-changes"", ""Native-American"", ""scout""]","[""Western""]"
"[""attack"", ""cavalry"", ""cross-cultural-relations"", ""massacre"", ""Native-American"", ""revenge"", ""romance"", ""safety"", ""soldier"", ""survivor"", ""traveling"", ""warning""]","[""Historical"", ""Film"", ""Western""]"
"[""cavalry"", ""cross-cultural-relations"", ""Indian (Native-American)-reservation"", ""Native-American"", ""peacemaker"", ""prison"", ""racism"", ""rebel"", ""renegade"", ""spiritual"", ""teacher""]","[""Western""]"
"[""captive"", ""Indian (Native-American)-tribe"", ""Native-American"", ""scheme"", ""survivor"", ""oil-company""]","[""Comedy""]"
"[""Sioux [Lakota]"", ""Mountie (Royal Canadian Mounted Police)"", ""Indian (Native-American)-uprising"", ""attack"", ""Canada"", ""wilderness"", ""false-accusation"", ""massacre"", ""border [geographic]"", ""cavalry"", ""alliance"", ""invasion"", ""wagon-train""]","[""Adventure""]"
