"[""boss [employer]"", ""boyfriend"", ""break-up [romantic]"", ""dissatisfaction"", ""girlfriend"", ""lecher"", ""revenge"", ""uncertainty""]","""Looking For Love"""," ""Single Life"""," ""Twentysomething Life""",,,,,,,,,,,
"[""Britain"", ""heir"", ""inheritance"", ""orphan"", ""love""]","""Love Triangles"""," ""Orphans"""," ""Playing the Field"""," ""Social Climbing""",,,,,,,,,,
"[""bachelor"", ""committed-relationship"", ""extramarital-affair"", ""husband-and-wife"", ""marital-problems"", ""marriage"", ""philandering"", ""promiscuity""]","""Infidelity"""," ""Foibles of Marriage"""," ""Looking For Love"""," ""Playing the Field""",,,,,,,,,,
"[""bachelor"", ""hedonism"", ""life-choices"", ""promiscuity"", ""sexuality"", ""ego"", ""life-changes"", ""amorality"", ""courage"", ""morals"", ""sports"", ""coming-of-age"", ""fanatic"", ""tennis-player"", ""man"", ""party""]","""Playing the Field""",,,,,,,,,,,,,
"[""amorality"", ""hairdresser"", ""beautician"", ""business"", ""ex-girlfriend"", ""love-triangle"", ""mistress"", ""party"", ""seduction"", ""betrayal"", ""extramarital-affair"", ""loan"", ""Hollywood"", ""orgy""]","""Playing the Field""",,,,,,,,,,,,,
"[""city"", ""love"", ""romance"", ""search"", ""woman""]","""Looking For Love"""," ""Single Life"""," ""Intersecting Lives"""," ""Playing the Field"""," ""Twentysomething Life""",,,,,,,,,
"[""dating"", ""committed-relationship"", ""extramarital-affair"", ""marital-problems"", ""marriage"", ""relationship""]","""Looking For Love"""," ""Battle of the Sexes"""," ""Crumbling Marriages"""," ""Playing the Field"""," ""Single Life""",,,,,,,,,
"[""bachelor"", ""compulsion"", ""womanizer"", ""self-discovery"", ""doctor"", ""love"", ""unrequited"", ""writer""]","""Infidelity"""," ""Love Triangles"""," ""Playing the Field""",,,,,,,,,,,
"[""Black [race]"", ""woman"", ""bachelorette"", ""boyfriend"", ""love-quadrangle"", ""modeling""]","""Playing the Field"""," ""Single Life""",,,,,,,,,,,,
"[""forbidden-love"", ""seduction"", ""sister-in-law"", ""family"", ""house"", ""lady"", ""banquet"", ""etiquette""]","""Eccentric Families"""," ""Playing the Field""",,,,,,,,,,,,
"[""love"", ""college-student"", ""doctor"", ""nobility"", ""performer"", ""reporter"", ""secretary"", ""art-appreciation""]","""Playing the Field""",,,,,,,,,,,,,
"[""in-law"", ""family"", ""house"", ""pursuit"", ""seduction""]","""Eccentric Families"""," ""Playing the Field""",,,,,,,,,,,,
"[""seduction"", ""sister-in-law"", ""English [nationality]"", ""veterinarian"", ""weekend"", ""family"", ""gardener""]","""Eccentric Families"""," ""Playing the Field""",,,,,,,,,,,,
"[""penis"", ""transplant"", ""scholar"", ""seduction"", ""sex"", ""musical-beds"", ""doctor/nurse"", ""spouse""]","""Crumbling Marriages"""," ""Playing the Field"""," ""Prostitutes""",,,,,,,,,,,
"[""forbidden-love"", ""social-climber"", ""unrequited""]","""Playing the Field"""," ""Unrequited Love""",,,,,,,,,,,,
"[""airplane"", ""bomb"", ""defuse"", ""aerial"", ""commando"", ""hijacker"", ""nerve-gas"", ""race-against-time"", ""rescue"", ""terrorism""]","""Hijackings"""," ""Daring Rescues"""," ""Race Against Time"""," ""Terrorism""",,,,,,,,,,
"[""con/scam"", ""heist"", ""hijacker"", ""on-the-run"", ""small-time"", ""thief"", ""train [locomotive]"", ""train-robbery""]","""Crime Gone Awry"""," ""Hijackings"""," ""One Last Heist""",,,,,,,,,,,
"[""hostage"", ""subway"", ""criminal"", ""dispatcher"", ""ransom"", ""race-against-time"", ""tension"", ""terrorism"", ""thug"", ""ultimatum"", ""mayor""]","""Hostage Situations"""," ""Hijackings"""," ""Perfect Crime"""," ""Terrorism""",,,,,,,,,,
"[""trail [path]"", ""cattle-drive"", ""obstacle"", ""smuggling"", ""weapons"", ""blizzard"", ""carpetbagger"", ""herd [group]"", ""mission [quest]"", ""Native-American"", ""prairie"", ""racism"", ""Texan"", ""driver"", ""Mexico"", ""south"", ""war""]","""Taming the West""",,,,,,,,,,,,,
"[""corruption"", ""Native-American"", ""pioneer"", ""railroad"", ""renegade"", ""settler"", ""wagon-train"", ""westward-expansion""]","""Taming the West""",,,,,,,,,,,,,
"[""music"", ""bad-guy"", ""fame"", ""friendship"", ""good-guy"", ""infamy"", ""killing"", ""manhunt"", ""outlaw [Western]"", ""partner"", ""performer"", ""sheriff"", ""tracking [following]""]","""Haunted By the Past"""," ""Sheriffs and Outlaws"""," ""Taming the West""",,,,,,,,,,,
"[""drifter"", ""judge"", ""court-system"", ""deception"", ""love"", ""murder"", ""obsession"", ""actor"", ""daughter"", ""father"", ""justice"", ""land-war"", ""horse-thief"", ""land-scheme"", ""settler""]","""Miscarriage of Justice"""," ""Taming the West""",,,,,,,,,,,,
"[""ranch"", ""captor"", ""criminal"", ""outlaw [Western]"", ""conflict"", ""lawyer"", ""rackets [corruption]"", ""bar [pub]""]","""Ranchers"""," ""Taming the West""",,,,,,,,,,,,
"[""Native-American"", ""attack"", ""border [geographic]"", ""cavalry"", ""father"", ""generation-gap"", ""last-stand"", ""officer"", ""relationship"", ""soldier"", ""son"", ""wife""]","""Fathers and Sons"""," ""Taming the West""",,,,,,,,,,,,
"[""assumed-identity"", ""outlaw [Western]"", ""rustler"", ""tracking [following]"", ""cattle"", ""cowboy"", ""impersonation"", ""performer"", ""presumed-dead"", ""disguise"", ""gangster"", ""name-clearing"", ""suspicion"", ""revenge"", ""songwriter""]","""Assumed Identities"""," ""Taming the West""",,,,,,,,,,,,
"[""mail"", ""Pony-Express"", ""stagecoach"", ""telegram"", ""bank-personnel"", ""carrier"", ""conspiracy"", ""cowboy"", ""scheme"", ""transition"", ""disguise"", ""Native-American"", ""outlaw [Western]"", ""songwriter""]","""Heroic Mission"""," ""Righting the Wronged"""," ""Taming the West""",,,,,,,,,,,
"[""adversity"", ""bishop"", ""faith"", ""minister"", ""preaching"", ""proving-oneself"", ""revenge"", ""sentimental"", ""showdown"", ""spirituality"", ""stubbornness""]","""Taming the West""",,,,,,,,,,,,,
"[""railroad"", ""construction"", ""transcontinental"", ""attack"", ""cross-country"", ""deception"", ""land"", ""Native-American"", ""passage"", ""scheme"", ""villain"", ""love"", ""worker""]","""Success is the Best Revenge"""," ""Taming the West""",,,,,,,,,,,,
"[""father"", ""hospital"", ""son""]","""Fathers and Sons"""," ""Switched at Birth""",,,,,,,,,,,,
"[""mistaken-identity"", ""switched-at-birth"", ""duke"", ""heir"", ""killing"", ""lawyer"", ""Pakistani [nationality]"", ""restaurant""]","""Mistaken Identities"""," ""Switched at Birth""",,,,,,,,,,,,
"[""bag-lady"", ""brother"", ""family"", ""gangster"", ""inheritance"", ""journalism"", ""killing"", ""mechanic"", ""twins""]","""Twins and Lookalikes"""," ""Switched at Birth""",,,,,,,,,,,,
"[""danger"", ""brother"", ""con/scam"", ""credit"", ""ecology"", ""embezzlement"", ""exploitation"", ""fortune [wealth]"", ""heir"", ""inheritance"", ""migrant-worker"", ""revenge"", ""twins""]","""Assumed Identities"""," ""Switched at Birth"""," ""Twins and Lookalikes""",,,,,,,,,,,
"[""switched-at-birth"", ""custody-battle"", ""childbirth"", ""toddlers"", ""family""]","""Switched at Birth""",,,,,,,,,,,,,
"[""aristocracy"", ""commoner"", ""against-all-odds"", ""bishop"", ""boy"", ""childbirth"", ""China"", ""danger"", ""daughter"", ""destruction"", ""emperor"", ""family"", ""friendship"", ""heir"", ""home"", ""honor [recognition]"", ""injustice"", ""massacre"", ""Prime-Minister"", ""problems"", ""purge"", ""revenge"", ""revolution"", ""ruthlessness"", ""sister"", ""son"", ""survivor"", ""switched-at-birth"", ""throne"", ""toddlers"", ""truth"", ""uprising"", ""war""]","""Switched at Birth""",,,,,,,,,,,,,
"[""identity-switch"", ""pianist"", ""race-car driver"", ""separated-at-birth"", ""twins"", ""gangster""]","""Mistaken Identities"""," ""Switched at Birth"""," ""Twins and Lookalikes""",,,,,,,,,,,
"[""big-city"", ""blue-collar"", ""business"", ""CEO (Chief Executive Officer)"", ""country-girl"", ""separated-at-birth"", ""switched-at-birth"", ""twins""]","""Twins and Lookalikes"""," ""Fighting the System"""," ""Switched at Birth""",,,,,,,,,,,
"[""ESP (Extra Sensory Perception)"", ""Hinduism"", ""Muslim"", ""switched-at-birth""]","""Psychic Abilities"""," ""Switched at Birth""",,,,,,,,,,,,
"[""switched-at-birth"", ""bourgeois"", ""doctor"", ""ex-lover"", ""family"", ""mistress""]","""Class Differences"""," ""Switched at Birth"""," ""Out For Revenge""",,,,,,,,,,,
"[""switched-at-birth"", ""girl"", ""mistaken-identity"", ""child"", ""custody-battle"", ""death-in-family""]","""Switched at Birth""",,,,,,,,,,,,,
"[""bounty-hunter"", ""criminal"", ""treasure""]","""On the Run"""," ""Sheriffs and Outlaws"""," ""Switched at Birth"""," ""Treasure Hunts""",,,,,,,,,,
"[""bombing"", ""Israeli  [nationality]"", ""Palestinian  [nationality]"", ""switched-at-birth""]","""Culture Clash"""," ""Switched at Birth""",,,,,,,,,,,,
"[""confusion"", ""disguise"", ""family"", ""friendship"", ""mistaken-identity"", ""peasant"", ""poverty"", ""revolution"", ""separated-at-birth"", ""sibling"", ""twins"", ""wealth""]","""Class Differences"""," ""Mistaken Identities"""," ""Switched at Birth"""," ""Twins and Lookalikes""",,,,,,,,,,
"[""autism"", ""genetics"", ""grandfather"", ""investigator"", ""killing"", ""murder"", ""switched-at-birth""]","""Evil Children"""," ""Switched at Birth""",,,,,,,,,,,,
"[""mix-up"", ""fairytale"", ""mistaken-identity"", ""switched-at-birth"", ""father"", ""fisherman"", ""king"", ""magic"", ""prince"", ""sea-monster"", ""son""]","""Switched at Birth"""," ""Crowned Heads"""," ""Fathers and Sons"""," ""Mistaken Identities""",,,,,,,,,,
"[""""]","""Switched at Birth""",,,,,,,,,,,,,
"[""dictator"", ""Jewish"", ""KGB"", ""loyalty"", ""orphan"", ""projectionist"", ""Russia"", ""Soviet"", ""totalitarianism""]","""Heads of State"""," ""Behind the Iron Curtain"""," ""Social Injustice""",,,,,,,,,,,
"[""agent [representative]"", ""Communism"", ""espionage"", ""FBI (Federal Bureau of Investigation)"", ""microfilm"", ""pickpocket"", ""robbery"", ""secret-plan"", ""top-secret"", ""tracking [following]""]","""Conspiracies"""," ""Dishonor Among Thieves"""," ""Redemption"""," ""Unlikely Heroes""",,,,,,,,,,
"[""agent [representative]"", ""America"", ""Britain"", ""escape"", ""espionage"", ""international"", ""manhunt"", ""missing-person"", ""organization"", ""Russia"", ""sadist"", ""scientist"", ""search"", ""secret-plan"", ""secrets""]","""Behind the Iron Curtain""",,,,,,,,,,,,,
"[""agent [representative]"", ""assassination"", ""CIA (Central-Intelligence-Agency)"", ""Cold-War"", ""espionage"", ""hitman"", ""KGB"", ""mission [quest]"", ""mistress"", ""retirement"", ""scheme""]","""Assassination Plots"""," ""Behind the Iron Curtain""",,,,,,,,,,,,
"[""dysfunctional"", ""love-child"", ""Communism"", ""handcuffs"", ""mother"", ""stepfather"", ""police-officer"", ""politician"", ""roots [origins]""]","""Mothers and Sons"""," ""Behind the Iron Curtain""",,,,,,,,,,,,
"[""aerial"", ""barnstorming"", ""behind-enemy-lines"", ""chase"", ""Cold-War"", ""espionage"", ""experiment"", ""KGB"", ""one-against-odds"", ""war""]","""Behind the Iron Curtain"""," ""Heroic Mission"""," ""Lone Wolves""",,,,,,,,,,,
"[""political-exile"", ""political-prisoner"", ""competition"", ""Iron-Curtain"", ""Russia"", ""Soviet"", ""Siberia"", ""parachute"", ""Soviet-Union"", ""Communist-party""]","""Behind the Iron Curtain"""," ""Totalitarian States"""," ""Americans Abroad"""," ""Miscarriage of Justice""",,,,,,,,,,
"[""assassination"", ""Cold-War"", ""computers"", ""espionage"", ""KGB"", ""radio""]","""Behind the Iron Curtain""",,,,,,,,,,,,,
"[""captive"", ""captor"", ""defector"", ""escape"", ""espionage"", ""formula"", ""killing"", ""missile"", ""political-intrigue"", ""scientist"", ""secret-plan"", ""secrets""]","""Behind the Iron Curtain"""," ""Totalitarian States"""," ""Traitorous Spies/Double Agents""",,,,,,,,,,,
"[""CIA (Central-Intelligence-Agency)"", ""espionage"", ""mentor"", ""protegé"", ""race-against-time"", ""rescue"", ""secret-mission"", ""spy""]","""Race Against Time"""," ""Traitorous Spies/Double Agents"""," ""Behind the Iron Curtain"""," ""Mentors"""," ""Political Unrest"""," ""Political Corruption""",,,,,,,,
"[""agent [representative]"", ""betrayal"", ""blackmail"", ""Cold-War"", ""criminal"", ""deportation"", ""double-agent"", ""double-cross"", ""espionage"", ""killing"", ""lesbianism"", ""murder"", ""Navy"", ""officer"", ""pimp"", ""rescue"", ""romance"", ""secret-plan"", ""transvestite"", ""treason"", ""widow/widower"", ""America"", ""China"", ""letter"", ""lookalike"", ""will [document]""]","""Behind the Iron Curtain"""," ""Conspiracies"""," ""Traitorous Spies/Double Agents""",,,,,,,,,,,
"[""agent [representative]"", ""bionics"", ""brain"", ""Cold-War"", ""Communism"", ""criminal"", ""death"", ""enemy"", ""espionage"", ""operation"", ""secrets"", ""surgery"", ""treason"", ""truth"", ""widow/widower""]","""Behind the Iron Curtain""",,,,,,,,,,,,,
"[""blackmail"", ""Communism"", ""espionage"", ""political-intrigue"", ""revenge"", ""terrorism"", ""investigator"", ""killing"", ""murder"", ""theater-troupe"", ""on-tour""]","""Out For Revenge"""," ""Behind the Iron Curtain"""," ""Assassination Plots"""," ""Political Corruption"""," ""Terrorism"""," ""Traitorous Spies/Double Agents""",,,,,,,,
"[""ballet-dance"", ""dance [art]"", ""defector"", ""husband-and-wife"", ""KGB"", ""Russia"", ""Russian [nationality]"", ""tap-dance"", ""veteran [military]""]","""Behind the Iron Curtain"""," ""Dancer's Life""",,,,,,,,,,,,
"[""Cold-War"", ""editor"", ""espionage"", ""nuclear-weapon"", ""publishing-house"", ""Russia"", ""Russian [nationality]"", ""Secret-Service"", ""alcoholism""]","""Behind the Iron Curtain"""," ""Interracial/Cross-Cultural Romance""",,,,,,,,,,,,
"[""agent [representative]"", ""America"", ""border [geographic]"", ""CIA (Central-Intelligence-Agency)"", ""Cold-War"", ""cycling"", ""danger"", ""defector"", ""doctor/nurse"", ""driver"", ""East"", ""employment"", ""espionage"", ""Germany"", ""group"", ""help"", ""hidden"", ""hitman"", ""investigation"", ""Judaism"", ""KGB"", ""love"", ""microfilm"", ""mistake"", ""physics"", ""recognition [fame]"", ""recruit [soldier]"", ""Russia"", ""scientist"", ""search"", ""secrets"", ""smuggling"", ""truck"", ""truckdriver"", ""vacation"", ""west"", ""worker""]","""Behind the Iron Curtain""",,,,,,,,,,,,,
"[""claustrophobia"", ""doctor"", ""escape"", ""Iron-Curtain"", ""paranoia"", ""repression"", ""Stalinism"", ""apartment""]","""Behind the Iron Curtain"""," ""Totalitarian States"""," ""Political Unrest""",,,,,,,,,,,
"[""behind-enemy-lines"", ""child"", ""escape"", ""love-triangle"", ""mountains"", ""outlaw [Western]"", ""prison"", ""property"", ""refugee"", ""regime"", ""rescue"", ""smuggling"", ""yacht""]","""Behind the Iron Curtain"""," ""Daring Rescues"""," ""Totalitarian States""",,,,,,,,,,,
"[""war"", ""advertising-executive"", ""anarchy"", ""army"", ""attack"", ""battle [war]"", ""behind-enemy-lines"", ""boating"", ""Britain"", ""captain [military]"", ""China"", ""civil-war"", ""colonel"", ""commander"", ""Communism"", ""crew"", ""escape"", ""evacuation"", ""fleet"", ""lieutenant"", ""meeting"", ""negotiation"", ""obstacle"", ""politician"", ""river"", ""scheme"", ""secrets"", ""shoot-out"", ""stranded"", ""violence"", ""wound [injury]""]","""Behind Enemy Lines"""," ""Behind the Iron Curtain"""," ""Daring Rescues""",,,,,,,,,,,
"[""chase"", ""Cold-War"", ""conspiracy"", ""destruction"", ""double-cross"", ""espionage"", ""KGB"", ""NATO (North Atlantic Treaty Organization)"", ""nuclear-weapon"", ""political-intrigue""]","""Terrorism"""," ""Behind the Iron Curtain"""," ""Fighting the System"""," ""Race Against Time""",,,,,,,,,,
"[""briefcase"", ""car-chase"", ""Cold-War"", ""crime-ring"", ""double-cross"", ""espionage"", ""shoot-out""]","""Dishonor Among Thieves"""," ""Traitorous Spies/Double Agents""",,,,,,,,,,,,
"[""escape"", ""espionage"", ""sportscaster"", ""KGB"", ""research"", ""athlete""]","""Behind the Iron Curtain"""," ""Escape From Prison""",,,,,,,,,,,,
"[""con/scam"", ""double-cross"", ""wager"", ""wealth"", ""France"", ""partner"", ""heir""]","""Cons and Scams"""," ""Assumed Identities"""," ""Dishonor Among Thieves""",,,,,,,,,,,
"[""mob-boss"", ""nightclub"", ""scheme"", ""small-time"", ""wrestling-Greco-Roman"", ""on-the-run"", ""owner"", ""promoter""]","""Cons and Scams"""," ""Dishonor Among Thieves""",,,,,,,,,,,,
"[""aristocracy"", ""brother"", ""cellar"", ""kidnapping"", ""political-intrigue""]","""Conspiracies"""," ""Crowned Heads"""," ""Switched at Birth""",,,,,,,,,,,
"[""showdown"", ""against-all-odds"", ""bad-guy"", ""brother"", ""good-guy"", ""gunfighter"", ""killing"", ""lawman"", ""outlaw [Western]"", ""romance"", ""sheriff"", ""weapons""]","""Feuds"""," ""Sheriffs and Outlaws"""," ""Taming the West""",,,,,,,,,,,
"[""family-feud"", ""business-rivalry"", ""daughter"", ""mistaken-identity"", ""parent"", ""son"", ""love"", ""childbirth""]","""Switched at Birth"""," ""Miscarriage of Justice""",,,,,,,,,,,,
"[""family"", ""frontier"", ""frontiersman"", ""homestead"", ""overcome"", ""woman"", ""adversity"", ""against-all-odds"", ""dedication"", ""hardships"", ""perseverance"", ""setback"", ""struggle""]","""Taming the West""",,,,,,,,,,,,,
"[""extramarital-affair"", ""forbidden-love"", ""obsession"", ""politician"", ""sexual-attraction"", ""upper-class"", ""Parliament"", ""family-tragedy"", ""passion"", ""fiancee"", ""love-triangle""]","""Self-Destructive Romance"""," ""Infidelity"""," ""Love Triangles"""," ""Wolf in Sheep's Clothing""",,,,,,,,,,
"[""psychopath"", ""assumed-identity"", ""family"", ""daughter"", ""stepfather"", ""dysfunctional"", ""investigation"", ""investigator"", ""killing"", ""maniac"", ""murder"", ""psychiatry"", ""rebel"", ""scheme"", ""search"", ""serial-killer"", ""widow/widower"", ""wife""]","""Assumed Identities"""," ""Woman In Jeopardy"""," ""Serial Killers"""," ""Treacherous Spouses"""," ""Wolf in Sheep's Clothing""",,,,,,,,,
"[""bank"", ""bar [pub]"", ""gang"", ""meeting"", ""party-girl"", ""robbery""]","""Bank Robbery"""," ""Crime Gone Awry"""," ""Wolf in Sheep's Clothing""",,,,,,,,,,,
"[""obsession"", ""patient [medical]""]","""Blackmail"""," ""Doctors and Patients"""," ""Obsessive Quests"""," ""Schemes and Ruses"""," ""Wolf in Sheep's Clothing""",,,,,,,,,
"[""folk-tales"", ""sex"", ""sister"", ""teenagers""]","""Dangerous Attraction"""," ""Serial Killers"""," ""Wolf in Sheep's Clothing"""," ""Woman In Jeopardy""",,,,,,,,,,
"[""abandonment"", ""daughter"", ""past"", ""religion"", ""wife""]","""Fathers and Sons"""," ""Members of the Clergy"""," ""Wolf in Sheep's Clothing""",,,,,,,,,,,
"[""cabin"", ""eccentric"", ""filmmaker"", ""misfit"", ""video-diary"", ""woods [place]""]","""Mind Games"""," ""Misfits and Outsiders"""," ""Mysterious Strangers"""," ""Wolf in Sheep's Clothing""",,,,,,,,,,
"[""group"", ""servicemen"", ""bank-robbery"", ""British"", ""expert"", ""retirement""]","""Bank Robbery""",,,,,,,,,,,,,
"[""cabaret-singer"", ""country-inn"", ""innkeeper"", ""slasher""]","""Survival in the Wilderness"""," ""Wolf in Sheep's Clothing""",,,,,,,,,,,,
"[""armored-car""]","""Bank Robbery""",,,,,,,,,,,,,
"[""accomplice [criminal]"", ""bank-robbery"", ""janitor"", ""hockey-player""]","""Bank Robbery"""," ""Dishonor Among Thieves"""," ""Small-Town Life""",,,,,,,,,,,
"[""law"", ""betrayal"", ""bomb"", ""brother"", ""family"", ""father"", ""fugitive"", ""missing-person"", ""on-the-run"", ""radical"", ""romance"", ""search"", ""woman""]","""Sibling Relationships"""," ""Fathers and Sons"""," ""Obsessive Quests"""," ""Bank Robbery"""," ""Haunted By the Past"""," ""Suburban Dysfunction""",,,,,,,,
"[""bank-robbery"", ""elderly"", ""retirement"", ""friendship"", ""heart-attack""]","""Unlikely Criminals"""," ""Fish Out of Water"""," ""Bank Robbery"""," ""Golden Years""",,,,,,,,,,
"[""Christmas"", ""handyman"", ""house"", ""incest"", ""mansion"", ""orgy""]","""Mind Games"""," ""Femmes Fatales"""," ""Wolf in Sheep's Clothing""",,,,,,,,,,,
"[""outlaw [Western]"", ""revenge"", ""gunfighter"", ""death-in-family"", ""fame"", ""family"", ""infamy"", ""legend  [fable]"", ""mother"", ""railroad"", ""reporter"", ""westward-expansion"", ""Wild-West"", ""bank-robbery"", ""loot"", ""gangster""]","""Bank Robbery"""," ""Sibling Relationships""",,,,,,,,,,,,
"[""gangster"", ""FBI (Federal Bureau of Investigation)"", ""career"", ""movie-theater""]","""Bank Robbery"""," ""Rise To Power""",,,,,,,,,,,,
"[""serial-killer"", ""boyfriend"", ""cross-country"", ""hitchhiker"", ""photographer"", ""writer"", ""yuppies""]","""Lovers on the Lam"""," ""Serial Killers"""," ""Wolf in Sheep's Clothing""",,,,,,,,,,,
"[""""]","""Infidelity"""," ""Treacherous Spouses"""," ""Wolf in Sheep's Clothing""",,,,,,,,,,,
"[""addiction"", ""alienation"", ""anxiety"", ""depression"", ""mother"", ""rehabilitation [detox]""]","""Alcoholism"""," ""Crumbling Marriages"""," ""Drug Addiction"""," ""Parenthood"""," ""Suburban Dysfunction""",,,,,,,,,
"[""abandonment"", ""baby"", ""bachelor"", ""child-care"", ""parent"", ""roommate"", ""child-rearing"", ""father"", ""guardian"", ""toddlers"", ""challenge"", ""mother"", ""swinging-single"", ""drug-dealer"", ""heroin""]","""Parenthood""",,,,,,,,,,,,,
"[""amateur-detective"", ""book"", ""church"", ""heretic"", ""investigation"", ""investigator"", ""killing"", ""monastery"", ""monk"", ""murder"", ""religion""]","""Amateur Sleuths"""," ""Members of the Clergy"""," ""Murder Investigations""",,,,,,,,,,,
"[""attack"", ""alien [not human]"", ""invasion"", ""man-vs-aliens"", ""message"", ""on-the-run"", ""paranoia"", ""world-domination""]","""Evil Aliens"""," ""Heroic Mission"""," ""Amateur Sleuths"""," ""Assumed Identities""",,,,,,,,,,
"[""expulsion"", ""fall-guy"", ""fan [devotee]"", ""soccer"", ""street-gang"", ""student"", ""violence""]","""Americans Abroad"""," ""Soccer Players"""," ""Street Gangs""",,,,,,,,,,,
"[""detective"", ""investigator"", ""killing"", ""love-at-first-sight"", ""romance"", ""woman""]","""Femmes Fatales""",,,,,,,,,,,,,
"[""manager"", ""soccer"", ""team""]","""Coaches and Players"""," ""Soccer Players""",,,,,,,,,,,,
"[""betrayal"", ""boyfriend"", ""con/scam"", ""fanatic"", ""Generation-X"", ""sex"", ""soccer"", ""widow/widower"", ""writing""]","""Soccer Players""",,,,,,,,,,,,,
